Wavelength (nm),Power (W/m2/nm)
838.946,-0.0003
839.26,0.0005
839.574,0.0006
839.887,0.0005
840.201,0.0013
840.514,0.0012
840.828,0.0005
841.141,0.0005
841.455,0.0002
841.768,0.0004
842.081,0.0009
842.394,0.0012
842.707,0.0013
843.02,0.0012
843.333,0.001
843.646,0.0002
843.959,-0.0002
844.272,-0.0007
844.585,-0.0008
844.898,-0.0008
845.21,-0.0006
845.523,-0.0009
845.835,-0.0007
846.148,0.0001
846.46,-0.0002
846.773,-0.0003
847.085,0
847.397,-0.0002
847.71,-0.0007
848.022,-0.0003
848.334,-0.0001
848.646,0.0004
848.958,0.0005
849.27,0.0003
849.582,0.0006
849.894,0.0009
850.205,0.001
850.517,0.0008
850.829,0.001
851.141,0.0008
851.452,0.0008
851.764,0.0005
852.075,0.0008
852.386,0.0004
852.698,0.0004
853.009,-0.0002
853.32,-0.0003
853.632,-0.0004
853.943,-0.0003
854.254,0.0002
854.565,0.0006
854.876,0.0007
855.187,0.0009
855.497,0.001
855.808,0.0007
856.119,0.0004
856.43,0
856.74,-0.0003
857.051,-0.0003
857.361,-0.0012
857.672,-0.001
857.982,-0.0011
858.293,-0.0003
858.603,0.0001
858.913,0.0008
859.223,0.0005
859.533,0.0014
859.844,0.001
860.154,0.0014
860.464,0.001
860.773,0.0016
861.083,0.0014
861.393,0.0012
861.703,0.0006
862.013,0.0009
862.322,0.0002
862.632,-0.0004
862.941,-0.0005
863.251,0.0003
863.56,0.0003
863.869,0.0002
864.179,0.0006
864.488,0.0009
864.797,0.0002
865.106,0
865.415,0.0003
865.724,-0.0002
866.033,0.0003
866.342,0.0013
866.651,0.0016
866.96,0.0016
867.269,0.002
867.577,0.0012
867.886,0
868.195,-0.0001
868.503,0.0004
868.812,0.0013
869.12,0.0013
869.428,0.0014
869.737,0.0012
870.045,0.0005
870.353,-0.0005
870.661,0.0006
870.969,0.0012
871.277,0.0016
871.585,0.0018
871.893,0.0027
872.201,0.0025
872.509,0.002
872.817,0.001
873.124,0.0008
873.432,-0.0008
873.739,-0.0014
874.047,-0.0016
874.354,-0.0013
874.662,-0.0008
874.969,0.0005
875.276,-0.0002
875.584,-0.0001
875.891,0.0002
876.198,0.0001
876.505,0
876.812,0.001
877.119,0.0009
877.426,0.0009
877.733,0.0006
878.04,0
878.346,0.0002
878.653,0.001
