Wavelength (nm),Power (W/m2/nm)
803.467,0.0012
803.787,0.0011
804.107,0.0012
804.426,0.0011
804.746,0.0009
805.066,0.001
805.385,0.001
805.705,0.0008
806.024,0.0007
806.343,0.0009
806.663,0.0005
806.982,0.0008
807.301,0.001
807.62,0.001
807.939,0.0008
808.258,0.0009
808.577,0.001
808.896,0.0011
809.215,0.001
809.534,0.0013
809.852,0.001
810.171,0.0006
810.49,0
810.808,0.0003
811.127,0.0003
811.445,0.0004
811.764,0.0002
812.082,0.0006
812.401,0.0005
812.719,0.0003
813.037,-0.0001
813.355,-0.0001
813.673,0.0001
813.991,-0.0003
814.309,0
814.627,0.0008
814.945,0.0009
815.263,0.0008
815.581,0.0008
815.899,0.0006
816.216,0.0004
816.534,0.0005
816.851,0.0005
817.169,0.0004
817.486,0.0005
817.804,0.0005
818.121,0.0007
818.438,0.0002
818.756,0.0005
819.073,0.0006
819.39,0.0004
819.707,0.0001
820.024,0.0004
820.341,0.0006
820.658,0.0007
820.975,0.0008
821.292,0.0012
821.608,0.0008
821.925,0.0009
822.242,0.0008
822.558,0.001
822.875,0.0006
823.191,0.0009
823.508,0.0003
823.824,0.0006
824.141,0.0006
824.457,0.0009
824.773,0.001
825.089,0.0009
825.405,0.0007
825.721,0
826.037,0.0003
826.353,0.0002
826.669,0.0004
826.985,0.0003
827.301,0.0003
827.617,-0.0003
827.932,-0.0006
828.248,-0.0006
828.563,-0.0002
828.879,0.0001
829.194,0.0007
829.51,0.0012
829.825,0.001
830.14,0.0007
830.456,0.0008
830.771,0.0002
831.086,0
831.401,0.0005
831.716,0.0005
832.031,0.0007
832.346,0.0009
832.661,0.0012
832.976,0.0013
833.29,0.0014
833.605,0.0015
833.92,0.001
834.234,0.0007
834.549,0.0001
834.863,-0.0003
835.178,-0.0003
835.492,0.0002
835.806,0.0007
836.121,0.001
836.435,0.0012
836.749,0.0008
837.063,0.0008
837.377,0.0003
837.691,0.0002
838.005,0.0001
838.319,0.0007
838.633,-0.0002
838.946,0.0004
839.26,0.0006
839.574,0.0007
839.887,0.001
840.201,0.0022
840.514,0.002
840.828,0.0018
841.141,0.0019
841.455,0.0014
841.768,0.0011
842.081,0.0008
842.394,0.0013
842.707,0.0013
843.02,0.0011
843.333,0.0008
843.646,0.0004
843.959,-0.0001
844.272,-0.0004
844.585,-0.0005
844.898,-0.0002
845.21,0.0002
845.523,0.0002
845.835,0.0005
846.148,0.0011
846.46,0.001
846.773,0.0009
847.085,0.001
847.397,0.0005
847.71,0.0004
848.022,-0.0001
848.334,0.0001
848.646,0.0001
848.958,0.0002
849.27,0.0003
849.582,0.0014
849.894,0.0017
850.205,0.0022
850.517,0.0021
850.829,0.0018
851.141,0.0009
851.452,0.0011
851.764,0.0005
852.075,0.0009
852.386,0.0006
852.698,0.001
853.009,0.0001
853.32,0.0007
853.632,0.0006
853.943,0.001
854.254,0.0011
854.565,0.0011
854.876,0.0009
855.187,0.0016
855.497,0.0017
855.808,0.002
856.119,0.0024
856.43,0.0022
856.74,0.0018
857.051,0.0014
857.361,0.0006
857.672,0.001
857.982,0.001
858.293,0.0009
858.603,0.0016
858.913,0.0015
859.223,0.001
859.533,0.0011
859.844,0.0007
860.154,0.0009
860.464,0.0018
860.773,0.0018
861.083,0.0019
861.393,0.0017
861.703,0.0015
862.013,0.001
862.322,0.0011
862.632,0.0012
862.941,0.0015
863.251,0.0018
863.56,0.0017
863.869,0.0009
864.179,0.0008
864.488,0.0009
864.797,0.0005
865.106,0.0012
865.415,0.0019
865.724,0.0016
866.033,0.0022
866.342,0.0019
866.651,0.0012
866.96,0.0011
867.269,0.0009
867.577,0.0007
867.886,0.0008
868.195,0.0011
868.503,0.0016
868.812,0.0024
869.12,0.0022
869.428,0.002
869.737,0.0019
870.045,0.0016
870.353,0.0012
870.661,0.0014
870.969,0.0017
871.277,0.0024
871.585,0.0016
871.893,0.0019
872.201,0.0014
872.509,0.0016
872.817,0
873.124,0.0008
873.432,0.0009
873.739,0.0008
874.047,-0.0002
874.354,0.0012
874.662,0.0014
874.969,0.0013
875.276,0.0012
875.584,0.0019
875.891,0.002
876.198,0.0019
876.505,0.0014
876.812,0.0015
877.119,0.0019
877.426,0.0012
877.733,0.0006
878.04,0.002
878.346,0.0023
878.653,0.0016
878.96,0.0021
879.266,0.0019
879.573,0.0011
879.879,0.0021
880.185,0.0024
880.492,0.0021
880.798,0.0027
881.104,0.0022
881.411,0.0014
